nume_actiune,timestamp
adauga_carte,2026-07-08T09:10:43.2174732
adauga_carte,2026-07-08T09:10:43.2366953
adauga_carte,2026-07-08T09:10:43.2387033
adauga_sectiune,2026-07-08T09:10:43.2437042
adauga_cititor,2026-07-08T09:10:43.2466938
imprumuta_carte,2026-07-08T09:10:43.265693
cauta_carte,2026-07-08T09:10:43.2677058
adauga_imprumut_la_cititor,2026-07-08T09:10:43.2707019
cauta_cititor,2026-07-08T09:10:43.2727017
returneaza_carte,2026-07-08T09:10:43.2796967
cauta_carte,2026-07-08T09:10:43.2816976
cauta_carti_dupa_autor,2026-07-08T09:10:43.2837001
listeaza_carti,2026-07-08T09:10:43.2857031
istoric_imprumuturi_cititor,2026-07-08T09:10:43.2897026
cauta_cititor,2026-07-08T09:10:43.2916983
verifica_disponibilitate,2026-07-08T09:10:43.2947044
cauta_carte,2026-07-08T09:10:43.2956991
carti_cu_cele_mai_multe_imprumuturi,2026-07-08T09:10:43.3006963
sterge_cititor,2026-07-08T09:10:43.3187121
cauta_cititor,2026-07-08T09:10:43.3197157
carti_din_sectiune,2026-07-08T09:10:43.3227131
adauga_carte,2026-07-08T09:12:27.3557633
adauga_carte,2026-07-08T09:12:27.3727692
adauga_carte,2026-07-08T09:12:27.3747662
adauga_sectiune,2026-07-08T09:12:27.378769
adauga_cititor,2026-07-08T09:12:27.382769
imprumuta_carte,2026-07-08T09:12:27.3997635
cauta_carte,2026-07-08T09:12:27.4017655
adauga_imprumut_la_cititor,2026-07-08T09:12:27.4047832
cauta_cititor,2026-07-08T09:12:27.4067853
returneaza_carte,2026-07-08T09:12:27.4157879
cauta_carte,2026-07-08T09:12:27.4177834
cauta_carti_dupa_autor,2026-07-08T09:12:27.4192994
listeaza_carti,2026-07-08T09:12:27.4213227
istoric_imprumuturi_cititor,2026-07-08T09:12:27.4253204
cauta_cititor,2026-07-08T09:12:27.4263245
verifica_disponibilitate,2026-07-08T09:12:27.4293189
cauta_carte,2026-07-08T09:12:27.4303181
carti_cu_cele_mai_multe_imprumuturi,2026-07-08T09:12:27.4343246
sterge_cititor,2026-07-08T09:12:27.4463212
cauta_cititor,2026-07-08T09:12:27.4483191
carti_din_sectiune,2026-07-08T09:12:27.4503195
